event1_all_repo_name,event2_all_repo_name,count
angular/angular-cli,angular/angular,82
angular/angular,angular/angular-cli,82
Microsoft/TypeScript,DefinitelyTyped/DefinitelyTyped,64
DefinitelyTyped/DefinitelyTyped,Microsoft/TypeScript,64
Microsoft/vscode,Microsoft/TypeScript,54
Microsoft/TypeScript,Microsoft/vscode,54
kubernetes/kubernetes,docker/docker,41
docker/docker,kubernetes/kubernetes,41
webpack/webpack,yarnpkg/yarn,40
yarnpkg/yarn,webpack/webpack,40
Microsoft/TypeScript,angular/angular,36
angular/angular,Microsoft/TypeScript,36
npm/npm,yarnpkg/yarn,35
yarnpkg/yarn,npm/npm,35
tensorflow/tensorflow,tensorflow/models,33
tensorflow/models,tensorflow/tensorflow,33
yarnpkg/yarn,facebook/jest,33
facebook/jest,yarnpkg/yarn,33
facebook/react-native,aksonov/react-native-router-flux,32
aksonov/react-native-router-flux,facebook/react-native,32
yarnpkg/yarn,nodejs/node,32
facebook/react-native,airbnb/react-native-maps,32
nodejs/node,yarnpkg/yarn,32
airbnb/react-native-maps,facebook/react-native,32
yarnpkg/yarn,babel/babel,29
babel/babel,yarnpkg/yarn,29
angular/material2,angular/angular,28
angular/angular,angular/material2,28
eslint/eslint,yarnpkg/yarn,27
yarnpkg/yarn,eslint/eslint,27
angular/angular,driftyco/ionic,25
driftyco/ionic,angular/angular,25
facebook/react-native,yarnpkg/yarn,23
yarnpkg/yarn,facebook/react-native,23
angular/material2,angular/angular-cli,23
yarnpkg/yarn,facebook/flow,23
angular/angular-cli,angular/material2,23
facebook/flow,yarnpkg/yarn,23
Microsoft/vscode,DefinitelyTyped/DefinitelyTyped,22
yarnpkg/yarn,Microsoft/vscode,22
Microsoft/vscode,yarnpkg/yarn,22
DefinitelyTyped/DefinitelyTyped,Microsoft/vscode,22
fchollet/keras,tensorflow/tensorflow,21
angular/angular-cli,yarnpkg/yarn,21
vuejs/vue,vuejs/vuex,21
vuejs/vuex,vuejs/vue,21
babel/babel,facebookincubator/create-react-app,21
tensorflow/tensorflow,fchollet/keras,21
facebookincubator/create-react-app,babel/babel,21
yarnpkg/yarn,angular/angular-cli,21
nodejs/node,npm/npm,20
npm/npm,nodejs/node,20
DefinitelyTyped/DefinitelyTyped,angular/angular,19
yarnpkg/yarn,Microsoft/TypeScript,19
atom/atom,yarnpkg/yarn,19
facebookincubator/create-react-app,webpack/webpack,19
yarnpkg/yarn,facebookincubator/create-react-app,19
Microsoft/TypeScript,yarnpkg/yarn,19
webpack/webpack,facebookincubator/create-react-app,19
facebookincubator/create-react-app,yarnpkg/yarn,19
angular/angular,DefinitelyTyped/DefinitelyTyped,19
yarnpkg/yarn,atom/atom,19
servo/servo,rust-lang/rust,18
rust-lang/rust,servo/servo,18
angular/angular,ng-bootstrap/ng-bootstrap,17
webpack/webpack,babel/babel,17
ng-bootstrap/ng-bootstrap,angular/angular,17
facebookincubator/create-react-app,facebook/jest,17
facebook/jest,facebook/react-native,17
zeit/hyper,yarnpkg/yarn,17
google/protobuf,grpc/grpc,17
grpc/grpc,google/protobuf,17
facebook/jest,facebookincubator/create-react-app,17
yarnpkg/yarn,zeit/hyper,17
babel/babel,webpack/webpack,17
vuejs/vue-router,vuejs/vuex,17
webpack/webpack,Microsoft/TypeScript,17
vuejs/vuex,vuejs/vue-router,17
facebook/react-native,facebook/jest,17
Microsoft/TypeScript,webpack/webpack,17
yarnpkg/yarn,facebook/react,16
nodejs/node,libuv/libuv,16
ReactTraining/react-router,facebook/react,16
facebook/react,yarnpkg/yarn,16
electron/electron,Microsoft/vscode,16
Microsoft/vscode,electron/electron,16
libuv/libuv,nodejs/node,16
facebook/react,ReactTraining/react-router,16
coreos/etcd,kubernetes/kubernetes,15
facebook/flow,eslint/eslint,15
Microsoft/TypeScript,nodejs/node,15
eslint/eslint,facebook/flow,15
vim/vim,neovim/neovim,15
wix/react-native-navigation,facebook/react-native,15
babel/babel,eslint/eslint,15
kubernetes/kubernetes,coreos/etcd,15
nodejs/node,Microsoft/TypeScript,15
facebook/react-native,wix/react-native-navigation,15
neovim/neovim,vim/vim,15
eslint/eslint,babel/babel,15
coreos/rkt,kubernetes/kubernetes,14
kubernetes/kubernetes,hashicorp/terraform,14
kubernetes/kubernetes,coreos/rkt,14
zeit/next.js,yarnpkg/yarn,14
kubernetes/minikube,kubernetes/kubernetes,14
ant-design/ant-design,dvajs/dva,14
yarnpkg/yarn,zeit/next.js,14
dvajs/dva,ant-design/ant-design,14
DefinitelyTyped/DefinitelyTyped,angular/angular-cli,14
vuejs/vue,vuejs/vue-router,14
hashicorp/terraform,kubernetes/kubernetes,14
eslint/eslint,npm/npm,14
kubernetes/kubernetes,kubernetes/minikube,14
vuejs/vue-router,vuejs/vue,14
angular/angular-cli,DefinitelyTyped/DefinitelyTyped,14
npm/npm,eslint/eslint,14
angular/angular-cli,Microsoft/TypeScript,13
ReactTraining/react-router,webpack/webpack,13
facebookincubator/create-react-app,facebook/flow,13
AngularClass/angular2-webpack-starter,angular/angular-cli,13
facebook/react,webpack/webpack,13
AngularClass/angular2-webpack-starter,angular/angular,13
angular/angular,Microsoft/vscode,13
Microsoft/TypeScript,angular/angular-cli,13
docker/docker,golang/go,13
ng-bootstrap/ng-bootstrap,angular/angular-cli,13
angular/angular,AngularClass/angular2-webpack-starter,13
webpack/webpack,ReactTraining/react-router,13
angular/angular-cli,AngularClass/angular2-webpack-starter,13
Microsoft/vscode,angular/angular,13
golang/go,docker/docker,13
facebook/jest,webpack/webpack,13
angular/angular-cli,ng-bootstrap/ng-bootstrap,13
facebook/flow,facebookincubator/create-react-app,13
DefinitelyTyped/DefinitelyTyped,yarnpkg/yarn,13
webpack/webpack,facebook/jest,13
webpack/webpack,facebook/react,13
yarnpkg/yarn,DefinitelyTyped/DefinitelyTyped,13
facebook/flow,facebook/react-native,12
emberjs/ember.js,yarnpkg/yarn,12
npm/npm,Microsoft/vscode,12
docker/docker,hashicorp/terraform,12
facebook/react-native,facebook/react,12
facebook/react,facebookincubator/create-react-app,12
facebook/react,facebook/react-native,12
angular/angular,angular/angular.js,12
yarnpkg/yarn,ReactTraining/react-router,12
golang/go,kubernetes/kubernetes,12
facebookincubator/create-react-app,facebook/react,12
yarnpkg/yarn,emberjs/ember.js,12
angular/angular,ReactiveX/rxjs,12
angular/angular-cli,webpack/webpack,12
webpack/webpack,angular/angular-cli,12
hashicorp/terraform,docker/docker,12
yarnpkg/yarn,rollup/rollup,12
kubernetes/kubernetes,golang/go,12
rollup/rollup,yarnpkg/yarn,12
angular/angular.js,angular/angular,12
facebook/react-native,facebook/flow,12
ReactTraining/react-router,yarnpkg/yarn,12
Microsoft/vscode,npm/npm,12
ReactiveX/rxjs,angular/angular,12
yarnpkg/yarn,lerna/lerna,11
yarnpkg/yarn,docker/docker,11
facebook/jest,babel/babel,11
atom/atom,Microsoft/vscode,11
getlantern/lantern,getlantern/forum,11
facebookincubator/create-react-app,facebook/react-native,11
webpack/webpack,eslint/eslint,11
