event1_all_repo_name,event2_all_repo_name,count
Microsoft/TypeScript,Microsoft/vscode,31
angular/angular-cli,angular/angular,31
angular/angular,angular/angular-cli,31
Microsoft/vscode,Microsoft/TypeScript,31
angular/angular,angular/material2,18
angular/material2,angular/angular,18
tensorflow/models,tensorflow/tensorflow,15
tensorflow/tensorflow,tensorflow/models,15
vuejs/vue,vuejs/vue-router,13
vuejs/vue-router,vuejs/vue,13
ant-design/ant-design,dvajs/dva,12
dvajs/dva,ant-design/ant-design,12
Microsoft/TypeScript,DefinitelyTyped/DefinitelyTyped,11
angular/angular,Microsoft/TypeScript,11
angular/angular,ng-bootstrap/ng-bootstrap,11
vuejs/vue,vuejs/vuex,11
DefinitelyTyped/DefinitelyTyped,Microsoft/TypeScript,11
vuejs/vue-router,vuejs/vuex,11
vuejs/vuex,vuejs/vue,11
ng-bootstrap/ng-bootstrap,angular/angular,11
vuejs/vuex,vuejs/vue-router,11
Microsoft/TypeScript,angular/angular,11
eslint/eslint,yarnpkg/yarn,10
angular/angular,driftyco/ionic,10
airbnb/react-native-maps,facebook/react-native,10
yarnpkg/yarn,Microsoft/vscode,10
yarnpkg/yarn,eslint/eslint,10
facebook/react-native,airbnb/react-native-maps,10
Microsoft/vscode,yarnpkg/yarn,10
driftyco/ionic,angular/angular,10
babel/babel,yarnpkg/yarn,9
yarnpkg/yarn,facebook/jest,9
Microsoft/TypeScript,yarnpkg/yarn,9
facebook/jest,yarnpkg/yarn,9
yarnpkg/yarn,babel/babel,9
yarnpkg/yarn,Microsoft/TypeScript,9
vim/vim,neovim/neovim,9
neovim/neovim,vim/vim,9
electron/electron,Microsoft/vscode,8
ElemeFE/element,vuejs/vue,8
Microsoft/vscode,electron/electron,8
getlantern/lantern,getlantern/forum,8
angular/material2,angular/angular-cli,8
webpack/webpack,yarnpkg/yarn,8
docker/docker,kubernetes/kubernetes,8
getlantern/forum,getlantern/lantern,8
kubernetes/kubernetes,docker/docker,8
angular/angular-cli,angular/material2,8
yarnpkg/yarn,webpack/webpack,8
vuejs/vue,ElemeFE/element,8
facebook/react-native,aksonov/react-native-router-flux,7
rust-lang/rust,servo/servo,7
DefinitelyTyped/DefinitelyTyped,Microsoft/vscode,7
fchollet/keras,tensorflow/tensorflow,7
libuv/libuv,nodejs/node,7
tensorflow/tensorflow,fchollet/keras,7
vuejs/vue-cli,vuejs/vue-router,7
vuejs/vue-router,vuejs/vue-cli,7
aksonov/react-native-router-flux,facebook/react-native,7
nodejs/node,libuv/libuv,7
servo/servo,rust-lang/rust,7
Microsoft/vscode,DefinitelyTyped/DefinitelyTyped,7
angular/angular,angular/angular.js,6
nodejs/node,Microsoft/vscode,6
facebookincubator/create-react-app,yarnpkg/yarn,6
yarnpkg/yarn,erikras/redux-form,6
coreos/etcd,kubernetes/kubernetes,6
Microsoft/vscode,angular/angular,6
erikras/redux-form,yarnpkg/yarn,6
yarnpkg/yarn,nodejs/node,6
yarnpkg/yarn,facebookincubator/create-react-app,6
