event1_all_repo_name,event2_all_repo_name,count
electron/electron,atom/atom,10
atom/atom,electron/electron,10
vsouza/awesome-ios,matteocrippa/awesome-swift,9
matteocrippa/awesome-swift,vsouza/awesome-ios,9
kubernetes/minikube,kubernetes/kubernetes,8
kubernetes/kubernetes,kubernetes/minikube,8
rust-lang/rust,servo/servo,8
servo/servo,rust-lang/rust,8
yarnpkg/yarn,babel/babel,7
babel/babel,yarnpkg/yarn,7
facebook/react,facebook/jest,6
facebook/react-native,jondot/awesome-react-native,6
kubernetes/kubernetes,coreos/rkt,6
coreos/rkt,kubernetes/kubernetes,6
laravel/laravel,atom/atom,6
atom/atom,laravel/laravel,6
facebook/jest,facebook/react,6
Microsoft/TypeScript,DefinitelyTyped/DefinitelyTyped,6
jondot/awesome-react-native,facebook/react-native,6
DefinitelyTyped/DefinitelyTyped,Microsoft/TypeScript,6
nodejs/node,libuv/libuv,5
apple/swift,apple/swift-evolution,5
apple/swift-evolution,apple/swift,5
vuejs/vue,vuejs/vuex,5
tensorflow/models,tensorflow/tensorflow,5
libuv/libuv,nodejs/node,5
kubernetes/kubernetes,docker/docker,5
vuejs/vuex,vuejs/vue,5
tensorflow/tensorflow,tensorflow/models,5
docker/docker,kubernetes/kubernetes,5
vuejs-templates/webpack,vuejs/vue,4
facebook/react-native,facebook/react,4
angular/material2,angular/angular-cli,4
vuejs/vue,vuejs-templates/webpack,4
atom/atom,coreos/rkt,4
atom/atom,CachetHQ/Cachet,4
angular/angular,angular/angular-cli,4
kubernetes/minikube,spf13/hugo,4
docker/docker,docker/infrakit,4
phoenixframework/phoenix,elixir-lang/elixir,4
facebook/react,facebook/react-native,4
docker/infrakit,docker/docker,4
facebook/react-native,airbnb/react-native-maps,4
vuejs/vuex,vuejs/vue-router,4
CachetHQ/Cachet,atom/atom,4
yarnpkg/yarn,facebook/react-native,4
angular/material,angular/material2,4
webpack/webpack,yarnpkg/yarn,4
spf13/hugo,kubernetes/minikube,4
facebook/react-native,yarnpkg/yarn,4
coreos/rkt,kubernetes/minikube,4
wulkano/kap,zeit/hyper,4
elixir-lang/elixir,phoenixframework/phoenix,4
yarnpkg/yarn,webpack/webpack,4
coreos/rkt,atom/atom,4
vuejs/vue,vuejs/vue-router,4
angular/angular-cli,angular/material2,4
zeit/hyper,wulkano/kap,4
vuejs/vue-router,vuejs/vuex,4
neovim/neovim,vim/vim,4
kubernetes/kubernetes,coreos/etcd,4
facebook/react,facebook/draft-js,4
vuejs/vue-router,vuejs/vue,4
zeit/hyper,zeit/next.js,4
zeit/next.js,zeit/hyper,4
airbnb/react-native-maps,facebook/react-native,4
facebook/draft-js,facebook/react,4
coreos/etcd,kubernetes/kubernetes,4
angular/material2,angular/material,4
CachetHQ/Cachet,spf13/hugo,4
vim/vim,neovim/neovim,4
kubernetes/minikube,coreos/rkt,4
spf13/hugo,CachetHQ/Cachet,4
angular/angular-cli,angular/angular,4
atom/atom,spf13/hugo,3
vuejs/vue,vuejs/awesome-vue,3
uikit/uikit,CachetHQ/Cachet,3
tomchristie/django-rest-framework,django/django,3
rails/rails,ruby/ruby,3
reactjs/redux,reactjs/react-redux,3
electron/electron,DefinitelyTyped/DefinitelyTyped,3
yarnpkg/yarn,facebook/jest,3
babel/babel,eslint/eslint,3
electron/electron,laravel/laravel,3
nodejs/node,yarnpkg/yarn,3
aframevr/aframe,mrdoob/three.js,3
uikit/uikit,atom/atom,3
spf13/hugo,laravel/laravel,3
angular/angular.js,jquery/jquery,3
django/django,tomchristie/django-rest-framework,3
atom/atom,emberjs/ember.js,3
ReactiveX/RxJava,ReactiveX/RxAndroid,3
jquery/jquery,angular/angular.js,3
emberjs/ember.js,atom/atom,3
facebook/graphql,graphql/graphql-js,3
facebook/react,facebook/flow,3
spf13/hugo,servo/servo,3
DefinitelyTyped/DefinitelyTyped,electron/electron,3
yarnpkg/yarn,nodejs/node,3
vuejs-templates/webpack,vuejs/vuex,3
vuejs/vuex,vuejs-templates/webpack,3
Carthage/Carthage,ReactiveCocoa/ReactiveCocoa,3
nodejs/node,npm/npm,3
npm/npm,nodejs/node,3
vuejs/awesome-vue,vuejs/vue,3
ReactiveX/RxAndroid,ReactiveX/RxJava,3
facebook/jest,yarnpkg/yarn,3
hashicorp/terraform,kubernetes/kubernetes,3
mrdoob/three.js,aframevr/aframe,3
laravel/laravel,electron/electron,3
eslint/eslint,babel/babel,3
servo/servo,spf13/hugo,3
ReactiveCocoa/ReactiveCocoa,Carthage/Carthage,3
kubernetes/kubernetes,hashicorp/terraform,3
jonathandturner/rustls,rust-lang/rust,3
atom/atom,uikit/uikit,3
spf13/hugo,atom/atom,3
laravel/laravel,spf13/hugo,3
reactjs/react-redux,reactjs/redux,3
facebook/flow,facebook/react,3
ruby/ruby,rails/rails,3
facebook/jest,facebook/react-native,3
graphql/graphql-js,facebook/graphql,3
facebook/react-native,facebook/jest,3
rust-lang/rust,jonathandturner/rustls,3
CachetHQ/Cachet,uikit/uikit,3
emberjs/ember.js,rails/rails,2
servo/servo,emberjs/ember.js,2
zeit/next.js,enaqx/awesome-react,2
emberjs/ember.js,electron/electron,2
ElemeFE/mint-ui,ElemeFE/element,2
Microsoft/vscode,Microsoft/language-server-protocol,2
spring-projects/spring-boot,spring-projects/spring-framework,2
spf13/hugo,ariya/phantomjs,2
angular/angular.js,angular/angular,2
vuejs/awesome-vue,ElemeFE/element,2
lukasz-madon/awesome-remote-job,jessicard/remote-jobs,2
github/gitignore,electron/electron,2
vuejs-templates/webpack,vuejs/vue-router,2
videojs/video.js,electron/electron,2
spring-projects/spring-framework,spring-projects/spring-boot,2
ReactiveX/RxJava,square/retrofit,2
apple/swift-evolution,Instagram/IGListKit,2
vuejs/vue,yarnpkg/yarn,2
emberjs/ember.js,laravel/laravel,2
vuejs/vue-router,vuejs/awesome-vue,2
PHPMailer/PHPMailer,fzaninotto/Faker,2
eslint/eslint,nodejs/node,2
fchollet/keras,scikit-learn/scikit-learn,2
electron/electron,home-assistant/home-assistant,2
square/retrofit,ReactiveX/RxJava,2
elixir-lang/elixir,rails/rails,2
airbnb/javascript,eslint/eslint,2
facebook/flow,facebook/react-native,2
apache/spark,tensorflow/tensorflow,2
naptha/tesseract.js,open-guides/og-aws,2
facebook/jest,facebookincubator/create-react-app,2
vuejs/vue-router,vuejs-templates/webpack,2
vuejs/vue-hackernews-2.0,vuejs/vue,2
ampproject/amphtml,babel/babel,2
zeit/now-app,zeit/next.js,2
zeit/now-app,zeit/hyper,2
jlevy/the-art-of-command-line,open-guides/og-aws,2
facebookincubator/create-react-app,babel/babel,2
AngularClass/awesome-angular2,AngularClass/angular2-webpack-starter,2
emberjs/ember.js,servo/servo,2
kraken-php/framework,naptha/tesseract.js,2
babel/babel,webpack/webpack,2
rails/rails,elixir-lang/elixir,2
AngularClass/angular2-webpack-starter,AngularClass/awesome-angular2,2
akveo/ng2-admin,AngularClass/angular2-webpack-starter,2
ayushoriginal/Sentiment-Analysis-Twitter,ayushoriginal/Consensus-Based-Summarizer,2
enaqx/awesome-react,zeit/next.js,2
Microsoft/language-server-protocol,Microsoft/TypeScript,2
naptha/tesseract.js,kraken-php/framework,2
facebook/relay,facebook/react-native,2
Homebrew/brew,yarnpkg/yarn,2
