event1_all_repo_name,event2_all_repo_name,count
naptha/tesseract.js,yarnpkg/yarn,3062
yarnpkg/yarn,naptha/tesseract.js,3062
jwasham/google-interview-university,open-guides/og-aws,2979
open-guides/og-aws,jwasham/google-interview-university,2979
yarnpkg/yarn,jwasham/google-interview-university,2715
jwasham/google-interview-university,yarnpkg/yarn,2715
open-guides/og-aws,yarnpkg/yarn,2404
yarnpkg/yarn,open-guides/og-aws,2404
yarnpkg/yarn,zeit/next.js,2384
zeit/next.js,yarnpkg/yarn,2384
jwasham/google-interview-university,naptha/tesseract.js,2246
naptha/tesseract.js,jwasham/google-interview-university,2246
open-guides/og-aws,naptha/tesseract.js,2133
naptha/tesseract.js,open-guides/og-aws,2133
jwasham/google-interview-university,songrotek/Deep-Learning-Papers-Reading-Roadmap,1885
songrotek/Deep-Learning-Papers-Reading-Roadmap,jwasham/google-interview-university,1885
noffle/art-of-readme,jwasham/google-interview-university,1540
jwasham/google-interview-university,noffle/art-of-readme,1540
yarnpkg/yarn,verekia/js-stack-from-scratch,1482
verekia/js-stack-from-scratch,yarnpkg/yarn,1482
naptha/tesseract.js,zeit/next.js,1381
zeit/next.js,naptha/tesseract.js,1381
jwasham/google-interview-university,verekia/js-stack-from-scratch,1379
verekia/js-stack-from-scratch,jwasham/google-interview-university,1379
ZuzooVn/machine-learning-for-software-engineers,jwasham/google-interview-university,1301
jwasham/google-interview-university,ZuzooVn/machine-learning-for-software-engineers,1301
noffle/art-of-readme,yarnpkg/yarn,1272
yarnpkg/yarn,noffle/art-of-readme,1272
jwasham/google-interview-university,engineerapart/TheRemoteFreelancer,1233
engineerapart/TheRemoteFreelancer,jwasham/google-interview-university,1233
open-guides/og-aws,songrotek/Deep-Learning-Papers-Reading-Roadmap,1228
songrotek/Deep-Learning-Papers-Reading-Roadmap,open-guides/og-aws,1228
open-guides/og-aws,verekia/js-stack-from-scratch,1207
verekia/js-stack-from-scratch,open-guides/og-aws,1207
naptha/tesseract.js,verekia/js-stack-from-scratch,1193
verekia/js-stack-from-scratch,naptha/tesseract.js,1193
yarnpkg/yarn,styled-components/styled-components,1161
styled-components/styled-components,yarnpkg/yarn,1161
engineerapart/TheRemoteFreelancer,open-guides/og-aws,1081
open-guides/og-aws,engineerapart/TheRemoteFreelancer,1081
noffle/art-of-readme,open-guides/og-aws,1063
open-guides/og-aws,noffle/art-of-readme,1063
wulkano/kap,yarnpkg/yarn,1054
yarnpkg/yarn,wulkano/kap,1054
yarnpkg/yarn,FormidableLabs/nodejs-dashboard,1049
FormidableLabs/nodejs-dashboard,yarnpkg/yarn,1049
jwasham/google-interview-university,zeit/next.js,1040
zeit/next.js,jwasham/google-interview-university,1040
naptha/tesseract.js,noffle/art-of-readme,1005
noffle/art-of-readme,naptha/tesseract.js,1005
open-guides/og-aws,zeit/next.js,984
zeit/next.js,open-guides/og-aws,984
naptha/tesseract.js,songrotek/Deep-Learning-Papers-Reading-Roadmap,957
songrotek/Deep-Learning-Papers-Reading-Roadmap,naptha/tesseract.js,957
naptha/tesseract.js,FormidableLabs/nodejs-dashboard,935
FormidableLabs/nodejs-dashboard,naptha/tesseract.js,935
naptha/tesseract.js,airen/DemoHouse,899
airen/DemoHouse,naptha/tesseract.js,899
airen/DemoHouse,yarnpkg/yarn,878
yarnpkg/yarn,airen/DemoHouse,878
wulkano/kap,naptha/tesseract.js,869
naptha/tesseract.js,wulkano/kap,869
jwasham/google-interview-university,detailyang/awesome-cheatsheet,847
detailyang/awesome-cheatsheet,jwasham/google-interview-university,847
songrotek/Deep-Learning-Papers-Reading-Roadmap,yarnpkg/yarn,832
yarnpkg/yarn,songrotek/Deep-Learning-Papers-Reading-Roadmap,832
naptha/tesseract.js,engineerapart/TheRemoteFreelancer,826
engineerapart/TheRemoteFreelancer,naptha/tesseract.js,826
songrotek/Deep-Learning-Papers-Reading-Roadmap,ZuzooVn/machine-learning-for-software-engineers,819
ZuzooVn/machine-learning-for-software-engineers,songrotek/Deep-Learning-Papers-Reading-Roadmap,819
yarnpkg/yarn,engineerapart/TheRemoteFreelancer,812
engineerapart/TheRemoteFreelancer,yarnpkg/yarn,812
airen/DemoHouse,jwasham/google-interview-university,807
jwasham/google-interview-university,airen/DemoHouse,807
verekia/js-stack-from-scratch,zeit/next.js,789
zeit/next.js,verekia/js-stack-from-scratch,789
jwasham/google-interview-university,leereilly/games,779
leereilly/games,jwasham/google-interview-university,779
jwasham/google-interview-university,wulkano/kap,774
wulkano/kap,jwasham/google-interview-university,774
Bilibili/flv.js,yarnpkg/yarn,772
yarnpkg/yarn,Bilibili/flv.js,772
yarnpkg/yarn,tawian/text-spinners,771
tawian/text-spinners,yarnpkg/yarn,771
styled-components/styled-components,zeit/next.js,735
zeit/next.js,styled-components/styled-components,735
ZuzooVn/machine-learning-for-software-engineers,open-guides/og-aws,734
open-guides/og-aws,ZuzooVn/machine-learning-for-software-engineers,734
tawian/text-spinners,naptha/tesseract.js,724
naptha/tesseract.js,tawian/text-spinners,724
yarnpkg/yarn,witheve/Eve,711
witheve/Eve,yarnpkg/yarn,711
jwasham/google-interview-university,mxgmn/WaveFunctionCollapse,684
mxgmn/WaveFunctionCollapse,jwasham/google-interview-university,684
Bilibili/flv.js,naptha/tesseract.js,682
naptha/tesseract.js,Bilibili/flv.js,682
engineerapart/TheRemoteFreelancer,songrotek/Deep-Learning-Papers-Reading-Roadmap,671
songrotek/Deep-Learning-Papers-Reading-Roadmap,engineerapart/TheRemoteFreelancer,671
vuejs/vue,yarnpkg/yarn,664
yarnpkg/yarn,vuejs/vue,664
ZuzooVn/machine-learning-for-software-engineers,naptha/tesseract.js,659
naptha/tesseract.js,ZuzooVn/machine-learning-for-software-engineers,659
tawian/text-spinners,jwasham/google-interview-university,657
jwasham/google-interview-university,tawian/text-spinners,657
open-guides/og-aws,wulkano/kap,649
wulkano/kap,open-guides/og-aws,649
FormidableLabs/nodejs-dashboard,open-guides/og-aws,646
open-guides/og-aws,FormidableLabs/nodejs-dashboard,646
SamyPesse/How-to-Make-a-Computer-Operating-System,jwasham/google-interview-university,641
jwasham/google-interview-university,SamyPesse/How-to-Make-a-Computer-Operating-System,641
rekihattori/awesome-programmers,jwasham/google-interview-university,640
jwasham/google-interview-university,rekihattori/awesome-programmers,640
jwasham/google-interview-university,channelcat/sanic,637
channelcat/sanic,jwasham/google-interview-university,637
leereilly/games,naptha/tesseract.js,633
naptha/tesseract.js,leereilly/games,633
leereilly/games,open-guides/og-aws,630
dempfi/ayu,yarnpkg/yarn,630
yarnpkg/yarn,dempfi/ayu,630
open-guides/og-aws,leereilly/games,630
styled-components/styled-components,naptha/tesseract.js,618
naptha/tesseract.js,wentin/cssicon,618
naptha/tesseract.js,styled-components/styled-components,618
wentin/cssicon,naptha/tesseract.js,618
FormidableLabs/nodejs-dashboard,jwasham/google-interview-university,617
jwasham/google-interview-university,FormidableLabs/nodejs-dashboard,617
yarnpkg/yarn,jiahaog/nativefier,617
jiahaog/nativefier,yarnpkg/yarn,617
wentin/cssicon,yarnpkg/yarn,595
yarnpkg/yarn,wentin/cssicon,595
facebookincubator/create-react-app,yarnpkg/yarn,592
yarnpkg/yarn,facebookincubator/create-react-app,592
zeit/next.js,wulkano/kap,591
wulkano/kap,zeit/next.js,591
FreeCodeCamp/FreeCodeCamp,jwasham/google-interview-university,588
jwasham/google-interview-university,FreeCodeCamp/FreeCodeCamp,588
channelcat/sanic,yarnpkg/yarn,580
yarnpkg/yarn,channelcat/sanic,580
naptha/tesseract.js,mxgmn/WaveFunctionCollapse,576
mxgmn/WaveFunctionCollapse,naptha/tesseract.js,576
verekia/js-stack-from-scratch,noffle/art-of-readme,573
noffle/art-of-readme,verekia/js-stack-from-scratch,573
yarnpkg/yarn,ZuzooVn/machine-learning-for-software-engineers,571
ZuzooVn/machine-learning-for-software-engineers,yarnpkg/yarn,571
noffle/art-of-readme,zeit/next.js,563
leereilly/games,yarnpkg/yarn,563
yarnpkg/yarn,leereilly/games,563
zeit/next.js,noffle/art-of-readme,563
FormidableLabs/nodejs-dashboard,zeit/next.js,562
zeit/next.js,FormidableLabs/nodejs-dashboard,562
open-guides/og-aws,airen/DemoHouse,558
airen/DemoHouse,open-guides/og-aws,558
jwasham/google-interview-university,alexjc/neural-enhance,557
alexjc/neural-enhance,jwasham/google-interview-university,557
open-guides/og-aws,channelcat/sanic,555
channelcat/sanic,open-guides/og-aws,555
witheve/Eve,naptha/tesseract.js,550
naptha/tesseract.js,witheve/Eve,550
jgamblin/Mirai-Source-Code,jwasham/google-interview-university,549
jwasham/google-interview-university,jgamblin/Mirai-Source-Code,549
naptha/tesseract.js,channelcat/sanic,537
channelcat/sanic,naptha/tesseract.js,537
jiahaog/nativefier,naptha/tesseract.js,536
naptha/tesseract.js,jiahaog/nativefier,536
jwasham/google-interview-university,jiahaog/nativefier,535
jiahaog/nativefier,jwasham/google-interview-university,535
noffle/art-of-readme,engineerapart/TheRemoteFreelancer,533
engineerapart/TheRemoteFreelancer,noffle/art-of-readme,533
songrotek/Deep-Learning-Papers-Reading-Roadmap,noffle/art-of-readme,531
noffle/art-of-readme,songrotek/Deep-Learning-Papers-Reading-Roadmap,531
verekia/js-stack-from-scratch,engineerapart/TheRemoteFreelancer,530
engineerapart/TheRemoteFreelancer,verekia/js-stack-from-scratch,530
lukasz-madon/awesome-remote-job,engineerapart/TheRemoteFreelancer,528
engineerapart/TheRemoteFreelancer,lukasz-madon/awesome-remote-job,528
songrotek/Deep-Learning-Papers-Reading-Roadmap,alexjc/neural-enhance,525
